State,Origin Count,STATE,Airport Count
CA,718982,CA,26
TX,706518,TX,25
FL,446077,FL,17
GA,434277,GA,8
IL,417525,IL,8
NY,300314,NY,13
CO,271800,CO,11
AZ,209684,AZ,4
NC,200425,NC,8
VA,200386,VA,9
MI,196954,MI,14
NV,167363,NV,3
TN,155588,TN,5
PA,139526,PA,6
MN,132341,MN,8
UT,127671,UT,5
MO,116277,MO,5
WA,116029,WA,5
NJ,115017,NJ,3
MA,113886,MA,5
OH,110635,OH,5
MD,105584,MD,1
HI,104762,HI,5
KY,77904,KY,4
WI,72470,WI,8
OR,67950,OR,6
LA,65323,LA,7
IN,51387,IN,4
AL,45342,AL,5
OK,42318,OK,3
AK,38882,AK,19
AR,36547,AR,4
NM,35750,NM,4
SC,35682,SC,5
NE,27832,NE,3
PR,24318,PR,3
CT,23993,CT,1
ID,22605,ID,6
IA,21107,IA,5
MS,20292,MS,6
RI,18996,RI,1
MT,18282,MT,8
NH,13883,NH,1
KS,13582,KS,5
ND,12450,ND,8
SD,12221,SD,4
WY,10455,WY,7
ME,8349,ME,2
VT,6649,VT,1
WV,5162,WV,3
VI,3477,VI,2
GU,10,GU,1
