ORIGIN_STATE,Flight Count
AK,38882
AL,45342
AR,36547
AZ,209684
CA,718982
CO,271800
CT,23993
FL,446077
GA,434277
GU,10
HI,104762
IA,21107
ID,22605
IL,417525
IN,51387
KS,13582
KY,77904
LA,65323
MA,113886
MD,105584
ME,8349
MI,196954
MN,132341
MO,116277
MS,20292
MT,18282
NC,200425
ND,12450
NE,27832
NH,13883
NJ,115017
NM,35750
NV,167363
NY,300314
OH,110635
OK,42318
OR,67950
PA,139526
PR,24318
RI,18996
SC,35682
SD,12221
TN,155588
TX,706518
UT,127671
VA,200386
VI,3477
VT,6649
WA,116029
WI,72470
WV,5162
WY,10455
