OP_CARRIER,TAXI_IN,TAXI_OUT
9E,7.83579605454462,18.37749269218408
AA,7.915491447659082,15.279457190232973
AS,5.271157356699526,14.106389193136181
B6,5.934276239363762,18.16017653424943
CO,7.518270078697377,16.843019003556638
DL,8.792392079926545,19.87866128765998
EV,7.231357116288083,16.7857064712851
F9,7.189664007027304,14.208464485274382
FL,7.569316519586568,14.825376541126168
HA,6.13902644532809,10.141036822421617
MQ,6.579056973380689,15.094407930870345
OH,9.180975798093922,21.46129930300136
OO,6.1319585737633835,14.066984089923618
UA,6.4063413596206145,15.878518483973172
US,6.498618312941679,18.089891945931207
WN,4.983893988992314,10.257184831838874
XE,6.515603372831927,14.467537661298909
YV,7.218052941412038,15.459206965794607
