ORIGIN,DEST,Flight Count,ORIGIN_STATE,DEST_STATE
ABE,ATL,986,PA,GA
ABE,DTW,786,PA,MI
ABE,ORD,741,PA,IL
ABI,DFW,2530,TX,TX
ABQ,ATL,892,NM,GA
ABQ,BWI,573,NM,MD
ABQ,CLT,95,NM,NC
ABQ,DAL,1726,NM,TX
ABQ,DEN,1754,NM,CO
ABQ,DFW,1982,NM,TX
ABQ,HOU,1022,NM,TX
ABQ,IAH,925,NM,TX
ABQ,JFK,302,NM,NY
ABQ,LAS,1384,NM,NV
ABQ,LAX,2010,NM,CA
ABQ,MCI,346,NM,MO
ABQ,MCO,99,NM,FL
ABQ,MDW,722,NM,IL
ABQ,MSP,246,NM,MN
ABQ,OAK,877,NM,CA
ABQ,ORD,640,NM,IL
ABQ,PDX,255,NM,OR
ABQ,PHX,2646,NM,AZ
ABQ,SAN,672,NM,CA
ABQ,SEA,439,NM,WA
ABQ,SFO,365,NM,CA
ABQ,SLC,1036,NM,UT
ABR,MSP,742,SD,MN
ABY,ATL,963,GA,GA
ACK,BOS,125,MA,MA
ACK,DCA,41,MA,VA
ACK,JFK,354,MA,NY
ACT,DFW,1760,TX,TX
ACV,SFO,1442,CA,CA
ACY,ATL,210,NJ,GA
ACY,BOS,182,NJ,MA
ACY,DTW,147,NJ,MI
ACY,FLL,879,NJ,FL
ACY,MCO,856,NJ,FL
ACY,MYR,365,NJ,SC
ACY,ORD,147,NJ,IL
ACY,PBI,155,NJ,FL
ACY,RSW,514,NJ,FL
ACY,TPA,365,NJ,FL
ADK,ANC,105,AK,AK
ADQ,ANC,491,AK,AK
AEX,ATL,1344,LA,GA
AEX,DFW,1074,LA,TX
AEX,IAH,1010,LA,TX
AGS,ATL,2583,GA,GA
AGS,LGA,1,GA,NY
AKN,ANC,63,AK,AK
ALB,ATL,1025,NY,GA
ALB,BWI,1876,NY,MD
ALB,CLT,790,NY,NC
ALB,DEN,9,NY,CO
ALB,DTW,551,NY,MI
ALB,EWR,205,NY,NJ
ALB,FLL,345,NY,FL
ALB,IAD,3,NY,VA
ALB,LAS,305,NY,NV
ALB,MCO,727,NY,FL
ALB,MDW,730,NY,IL
ALB,MSP,232,NY,MN
ALB,ORD,976,NY,IL
ALB,RSW,5,NY,FL
ALB,TPA,414,NY,FL
ALO,ORD,674,IA,IL
AMA,DAL,1330,TX,TX
AMA,DEN,598,TX,CO
AMA,DFW,1241,TX,TX
AMA,IAH,987,TX,TX
AMA,LAS,365,TX,NV
ANC,ADK,105,AK,AK
ANC,ADQ,491,AK,AK
ANC,AKN,63,AK,AK
ANC,ATL,102,AK,GA
ANC,BET,980,AK,AK
ANC,BRW,208,AK,AK
ANC,CDV,362,AK,AK
ANC,DEN,439,AK,CO
ANC,DFW,123,AK,TX
ANC,DLG,77,AK,AK
ANC,EWR,7,AK,NJ
ANC,FAI,365,AK,AK
ANC,HNL,297,AK,HI
ANC,IAH,84,AK,TX
ANC,JNU,1122,AK,AK
ANC,KOA,44,AK,HI
ANC,LAS,84,AK,NV
ANC,LAX,413,AK,CA
ANC,LGB,118,AK,CA
ANC,MSP,637,AK,MN
ANC,OGG,67,AK,HI
ANC,OME,414,AK,AK
ANC,ORD,697,AK,IL
ANC,OTZ,674,AK,AK
ANC,PDX,975,AK,OR
ANC,PHX,423,AK,AZ
ANC,SCC,728,AK,AK
ANC,SEA,6870,AK,WA
ANC,SFO,172,AK,CA
ANC,SLC,98,AK,UT
APN,DTW,626,MI,MI
ASE,ATL,101,CO,GA
ASE,DEN,1126,CO,CO
ASE,DFW,335,CO,TX
ASE,IAH,415,CO,TX
ASE,LAX,798,CO,CA
ASE,MSP,24,CO,MN
ASE,ORD,621,CO,IL
ASE,SFO,201,CO,CA
ATL,ABE,992,GA,PA
ATL,ABQ,894,GA,NM
ATL,ABY,963,GA,GA
ATL,ACY,209,GA,NJ
ATL,AEX,1344,GA,LA
ATL,AGS,2583,GA,GA
ATL,ALB,1025,GA,NY
ATL,ANC,102,GA,AK
ATL,ASE,100,GA,CO
ATL,ATW,446,GA,WI
ATL,AUS,3453,GA,TX
ATL,AVL,2013,GA,NC
ATL,AVP,360,GA,PA
ATL,AZO,19,GA,MI
ATL,BDL,2540,GA,CT
ATL,BHM,3524,GA,AL
ATL,BMI,964,GA,IL
ATL,BNA,3551,GA,TN
ATL,BOS,5149,GA,MA
ATL,BQK,963,GA,GA
ATL,BTR,2740,GA,LA
ATL,BTV,332,GA,VT
ATL,BUF,1715,GA,NY
ATL,BWI,6415,GA,MD
ATL,BZN,97,GA,MT
ATL,CAE,2908,GA,SC
ATL,CAK,2217,GA,OH
ATL,CHA,3015,GA,TN
ATL,CHO,1028,GA,VA
ATL,CHS,3509,GA,SC
ATL,CID,941,GA,IA
ATL,CLE,3136,GA,OH
ATL,CLT,6888,GA,NC
ATL,CMH,3569,GA,OH
ATL,COS,336,GA,CO
ATL,CRW,1455,GA,WV
ATL,CSG,1179,GA,GA
ATL,CVG,2610,GA,KY
ATL,DAB,1608,GA,FL
ATL,DAL,3135,GA,TX
ATL,DAY,1421,GA,OH
ATL,DCA,7073,GA,VA
ATL,DEN,5467,GA,CO
ATL,DFW,7691,GA,TX
ATL,DHN,1378,GA,AL
ATL,DSM,1013,GA,IA
ATL,DTW,5307,GA,MI
ATL,ECP,2206,GA,
ATL,EGE,100,GA,CO
ATL,ELM,15,GA,NY
ATL,ELP,787,GA,TX
ATL,EVV,1048,GA,IN
ATL,EWN,630,GA,NC
ATL,EWR,5560,GA,NJ
ATL,EYW,1547,GA,FL
ATL,FAR,39,GA,ND
ATL,FAY,1784,GA,NC
ATL,FCA,25,GA,MT
ATL,FLL,8092,GA,FL
ATL,FNT,1042,GA,MI
ATL,FSD,362,GA,SD
ATL,FSM,734,GA,AR
ATL,FWA,1191,GA,IN
ATL,GJT,1,GA,CO
ATL,GNV,2265,GA,FL
ATL,GPT,1530,GA,MS
ATL,GRB,438,GA,WI
ATL,GRK,646,GA,TX
ATL,GRR,1405,GA,MI
ATL,GSO,2913,GA,NC
ATL,GSP,2697,GA,SC
ATL,GTR,1015,GA,MS
ATL,HDN,95,GA,CO
ATL,HNL,365,GA,HI
ATL,HOU,4441,GA,TX
ATL,HPN,2067,GA,NY
ATL,HSV,2710,GA,AL
ATL,IAD,2853,GA,VA
ATL,IAH,4207,GA,TX
ATL,ICT,1061,GA,KS
ATL,ILM,1761,GA,NC
ATL,IND,4170,GA,IN
ATL,JAC,103,GA,WY
ATL,JAN,2503,GA,MS
ATL,JAX,5596,GA,FL
ATL,JFK,2095,GA,NY
ATL,LAN,13,GA,MI
ATL,LAS,4520,GA,NV
ATL,LAX,6238,GA,CA
ATL,LEX,2509,GA,KY
ATL,LFT,1316,GA,LA
ATL,LGA,8909,GA,NY
ATL,LIT,2155,GA,AR
ATL,LNK,356,GA,NE
ATL,MBS,15,GA,MI
ATL,MCI,3803,GA,MO
ATL,MCO,8964,GA,FL
ATL,MDT,1043,GA,PA
ATL,MDW,5000,GA,IL
ATL,MEM,3404,GA,TN
ATL,MGM,2423,GA,AL
ATL,MHT,364,GA,NH
ATL,MIA,5627,GA,FL
ATL,MKE,3448,GA,WI
ATL,MLB,1448,GA,FL
ATL,MLI,853,GA,IL
ATL,MLU,1318,GA,LA
ATL,MOB,2443,GA,AL
ATL,MSN,981,GA,WI
ATL,MSO,15,GA,MT
ATL,MSP,5169,GA,MN
ATL,MSY,6098,GA,LA
ATL,MTJ,35,GA,CO
ATL,MYR,1565,GA,SC
ATL,OAJ,1248,GA,NC
ATL,OAK,64,GA,CA
ATL,OKC,2174,GA,OK
ATL,OMA,1762,GA,NE
ATL,ONT,3,GA,CA
ATL,ORD,7213,GA,IL
ATL,ORF,2930,GA,VA
ATL,PBI,4579,GA,FL
ATL,PDX,1173,GA,OR
ATL,PHF,1374,GA,VA
ATL,PHL,7223,GA,PA
ATL,PHX,3983,GA,AZ
ATL,PIA,984,GA,IL
ATL,PIT,3571,GA,PA
ATL,PNS,2472,GA,FL
ATL,PVD,1033,GA,RI
ATL,PWM,698,GA,ME
ATL,RAP,15,GA,SD
ATL,RDU,5182,GA,NC
ATL,RIC,3912,GA,VA
ATL,ROA,1638,GA,VA
ATL,ROC,1061,GA,NY
ATL,RST,348,GA,MN
ATL,RSW,4259,GA,FL
ATL,SAN,2228,GA,CA
ATL,SAT,3129,GA,TX
ATL,SAV,3458,GA,GA
ATL,SBN,1211,GA,IN
ATL,SCE,39,GA,
ATL,SDF,3002,GA,KY
ATL,SEA,2942,GA,WA
ATL,SFO,3416,GA,CA
ATL,SGF,1417,GA,MO
ATL,SHV,2236,GA,LA
ATL,SJC,302,GA,CA
ATL,SJU,1540,GA,PR
ATL,SLC,2787,GA,UT
ATL,SMF,613,GA,CA
ATL,SNA,1062,GA,CA
ATL,SRQ,2108,GA,FL
ATL,STL,3852,GA,MO
ATL,STT,668,GA,VI
ATL,STX,37,GA,VI
ATL,SYR,1051,GA,NY
ATL,TLH,2304,GA,FL
ATL,TPA,7727,GA,FL
ATL,TRI,2088,GA,TN
ATL,TTN,356,GA,NJ
ATL,TUL,1656,GA,OK
ATL,TUS,678,GA,AZ
ATL,TVC,33,GA,MI
ATL,TYS,1893,GA,TN
ATL,VLD,1023,GA,GA
ATL,VPS,2414,GA,FL
ATL,XNA,1747,GA,AR
ATW,ATL,448,WI,GA
ATW,DTW,525,WI,MI
ATW,MSP,565,WI,MN
ATW,ORD,1570,WI,IL
AUS,ATL,3462,TX,GA
AUS,BNA,692,TX,TN
AUS,BOS,433,TX,MA
AUS,BWI,704,TX,MD
AUS,CLT,508,TX,NC
AUS,DAL,4331,TX,TX
AUS,DCA,365,TX,VA
AUS,DEN,3126,TX,CO
AUS,DFW,5108,TX,TX
AUS,DTW,351,TX,MI
AUS,ELP,947,TX,TX
AUS,EWR,1055,TX,NJ
AUS,FLL,851,TX,FL
AUS,HOU,1442,TX,TX
AUS,HRL,352,TX,TX
AUS,IAD,110,TX,VA
AUS,IAH,2319,TX,TX
AUS,JFK,1739,TX,NY
AUS,LAS,1312,TX,NV
AUS,LAX,2822,TX,CA
AUS,LBB,346,TX,TX
AUS,LGB,506,TX,CA
AUS,MCO,1064,TX,FL
AUS,MDW,969,TX,IL
AUS,MEM,8,TX,TN
AUS,MIA,229,TX,FL
AUS,MSP,131,TX,MN
AUS,MSY,375,TX,LA
AUS,OAK,367,TX,CA
AUS,ORD,2505,TX,IL
AUS,PDX,99,TX,OR
AUS,PHL,288,TX,PA
AUS,PHX,1724,TX,AZ
AUS,SAN,685,TX,CA
AUS,SEA,492,TX,WA
AUS,SFO,2223,TX,CA
AUS,SJC,661,TX,CA
AUS,SLC,645,TX,UT
AUS,SNA,187,TX,CA
AUS,STL,187,TX,MO
AUS,TPA,368,TX,FL
AVL,ATL,2012,NC,GA
AVL,EWR,205,NC,NJ
AVL,ORD,812,NC,IL
AVP,ATL,360,PA,GA
AVP,DTW,492,PA,MI
AVP,EWR,57,PA,NJ
AVP,ORD,563,PA,IL
AZO,ATL,17,MI,GA
AZO,DTW,387,MI,MI
AZO,MSP,117,MI,MN
AZO,ORD,1445,MI,IL
BDL,ATL,2539,CT,GA
