ORIGIN,Average Departure Delay
ABE,10.253430531732418
ABI,9.968354430379748
ABQ,8.06218799787573
ABR,5.908719346049046
ABY,7.714714714714715
ACK,14.898193760262727
ACT,7.242556281771968
ACV,12.919177075679647
ACY,11.71737323358271
ADK,-2.0297029702970297
ADQ,-4.260038240917782
AEX,7.0702875399361025
AGS,10.182164634146341
AKN,-3.015873015873016
ALB,6.434477547495682
AMA,2.959921156373193
ANC,0.1965762198672412
APN,13.361022364217252
ASE,11.818285714285715
ATL,8.667100994243851
ATW,3.8394204648354964
AUS,8.350657550949313
AVL,11.920454545454545
AVP,7.043451652386781
AZO,4.9122893954410305
BDL,6.361413448635754
BET,-7.866388308977036
BFF,40.0
BFL,4.5909972836631745
BGM,8.712485681557846
BGR,10.073455759599332
BHM,7.708761826408885
BIL,0.7372003551346552
BIS,6.358029978586724
BJI,7.18732782369146
BLI,1.5206611570247934
BMI,5.958195089581951
BNA,8.962619383121966
BOI,6.623331279523516
BOS,9.192438973503025
BPT,17.26078799249531
BQK,9.353982300884956
BQN,9.981430912069907
BRD,5.88375796178344
BRO,4.058529264632316
BRW,-4.891921397379913
BTM,3.1982116244411327
BTR,11.707245093699276
BTV,10.386765837394204
BUF,7.144358438329849
BUR,6.91327106177519
BWI,8.961723853618317
BZN,4.930601610611085
CAE,11.029922338967564
CAK,8.007074569789674
CDC,0.1856
CDV,-9.062586926286508
CHA,12.123519087319
CHO,13.586440677966102
CHS,8.960706585993462
CID,7.262116040955632
CIU,15.395588235294118
CLE,8.812513003418042
CLL,1.2199281867145422
CLT,7.996776108498105
CMH,6.468066491688539
CMX,16.507204610951007
COD,4.7839912280701755
COS,9.182751038358173
CPR,1.0390143737166324
CRP,2.2622557422008915
CRW,12.024819855884708
CSG,6.872756933115824
CVG,8.592691505992704
CWA,4.6219667943805876
DAB,9.0927624872579
DAL,10.391578793204452
DAY,7.6138147566719
DCA,7.751756563308511
DEN,9.221672470432168
DFW,11.000902638800058
DHN,11.75985401459854
DLG,-3.3855421686746987
DLH,10.021576763485477
DRO,4.704392764857881
DSM,7.5116913484021826
DTW,8.762334971767478
DVL,7.526223776223776
EAU,7.717522658610272
ECP,4.856983240223464
EFD,7.0
EGE,9.833530805687204
EKO,-0.4315286624203822
ELM,4.428806133625411
ELP,7.513089005235602
ENV,157.0
ERI,9.915277777777778
ESC,10.51294498381877
EUG,10.97737686139748
EVV,9.323922734026747
EWN,8.721030042918455
EWR,13.774753636790239
EYW,8.322821100917432
FAI,0.1053484602917342
FAR,7.803287108371854
FAT,8.74678787878788
FAY,8.930232558139535
FCA,2.1791932059447983
FLG,3.025895316804408
FLL,11.728973097710572
FNT,3.1378768020969856
FSD,7.222034715525554
FSM,6.075718015665796
FWA,9.911984567156981
GCC,0.09099804305283757
GCK,20.833333333333332
GEG,3.656218706188664
GFK,4.788686605981795
GGG,14.046321525885558
GJT,-0.45727084769124743
GNV,9.919276576973974
GPT,6.470890961724027
GRB,4.7979880369766175
GRI,10.337579617834395
GRK,3.368393511250654
GRR,6.184997242140099
GSO,8.788364249578414
GSP,8.875159960187686
GST,-0.39759036144578314
GTF,3.2096597145993413
GTR,9.306163021868787
GUC,15.420168067226891
GUM,7.956284153005464
HDN,5.453546453546454
HIB,8.449740932642488
HLN,-0.5198079231692677
HNL,1.7214924361201747
HOB,4.115702479338843
HOU,9.584389642877145
HPN,12.53623395149786
HRL,4.324737020699016
HSV,5.207495656490444
HYA,10.809917355371901
HYS,3.099009900990099
IAD,9.192965919467436
IAG,7.274869109947644
IAH,8.701058923366418
ICT,6.276869609988416
IDA,2.399918467183041
ILM,7.71221613155834
IMT,7.329323308270677
IND,7.531414597441685
INL,11.739482200647249
ISN,4.107341147439852
ISP,6.573376623376624
