ORIGIN,LATITUDE,LONGITUDE,Average Arrival Delay
ABE,40.65236278,-75.44040167,6.580229226361031
ABI,32.41132,-99.68189722,20.25
ABQ,35.04022222,-106.6091944,2.1239148846072413
ABR,45.44905556,-98.42183333,5.8625
ABY,31.535515,-84.19447333,10.230016313213703
ACK,41.25305194,-70.06018139,26.49532710280374
ACT,31.61128833,-97.23051917,5.81570996978852
ACV,40.97811528,-124.1086189,12.593559617058311
ACY,39.45758333,-74.57716667,2.3161309348274846
ADK,51.87796389,-176.6460306,-0.7040816326530612
ADQ,57.74996778,-152.4938553,-0.17478991596638654
AEX,31.32737167,-92.54855611,6.041829336307864
AGS,33.369955,-81.96449611,10.390662220104812
AKN,58.67680167,-156.6492175,-2.126984126984127
ALB,42.74811944,-73.80297861,1.9958856647899523
ALO,42.55708139,-92.40034361,13.376873661670235
AMA,35.2193725,-101.7059272,-0.9468728984532616
ANC,61.17432028,-149.9961856,-1.8524821030395493
APN,45.0780675,-83.56028583,11.66213921901528
ASE,39.22316,-106.868845,17.194963444354183
ATL,33.64044444,-84.42694444,3.767014283044707
ATW,44.25740806,-88.51947556,1.7691437193511883
AUS,30.19453278,-97.66987194,4.478215304597589
AVL,35.43619444,-82.54180556,14.784090909090908
AVP,41.33814944,-75.7242675,11.3922942206655
AZO,42.234875,-85.5520575,5.402699172834131
BDL,41.93887417,-72.68322833,-0.32289223126811095
BET,60.77977639,-161.8379975,-1.5830653804930332
BFL,35.43359806,-119.0567681,0.9856014862981886
BGM,42.20848278,-75.97961361,6.448398576512456
BGR,44.80744444,-68.82813889,32.43413978494624
BHM,33.56294306,-86.75354972,3.806076618229855
BIL,45.8076625,-108.5428611,-0.48131404460518384
BIS,46.77411111,-100.7467222,4.1365875503806535
BJI,47.50942417,-94.93372333,9.006896551724138
BLI,48.79275,-122.5375278,9.21
BMI,40.47798556,-88.91595278,3.078934854969092
BNA,36.12447667,-86.67818222,4.622374152285383
BOI,43.56444444,-116.2227778,2.7917617237008874
BOS,42.3643475,-71.00517917,5.9223692058797095
BPT,29.95083333,-94.02069444,44.25
BQK,31.25902778,-81.46630556,7.775330396475771
BQN,18.49486111,-67.12944444,15.15438373570521
BRD,46.39785806,-94.1372275,3.940157480314961
BRO,25.90683333,-97.42586111,-2.4625719769673706
