,State,Postal
0,Alabama,AL
1,Alaska,AK
2,Arizona,AZ
3,Arkansas,AR
4,California,CA
5,Canal Zone,CZ
6,Colorado,CO
7,Connecticut,CT
8,Delaware,DE
9,District of Columbia,DC
10,Florida,FL
11,Georgia,GA
12,Guam,GU
13,Hawaii,HI
14,Idaho,ID
15,Illinois,IL
16,Indiana,IN
17,Iowa,IA
18,Kansas,KS
19,Kentucky,KY
20,Louisiana,LA
21,Maine,ME
22,Maryland,MD
23,Massachusetts,MA
24,Michigan,MI
25,Minnesota,MN
26,Mississippi,MS
27,Missouri,MO
28,Montana,MT
29,Nebraska,NE
30,Nevada,NV
31,New Hampshire,NH
32,New Jersey,NJ
33,New Mexico,NM
34,New York,NY
35,North Carolina,NC
36,North Dakota,ND
37,Ohio,OH
38,Oklahoma,OK
39,Oregon,OR
40,Pennsylvania,PA
41,Puerto Rico,PR
42,Rhode Island,RI
43,South Carolina,SC
44,South Dakota,SD
45,Tennessee,TN
46,Texas,TX
47,Utah,UT
48,Vermont,VT
49,Virgin Islands,VI
50,Virginia,VA
51,Washington,WA
52,West Virginia,WV
53,Wisconsin,WI
54,Wyoming,WY
