,IATA,AIRPORT,STATE,State
0,ABQ,Albuquerque International,NM,New Mexico
1,ANC,Ted Stevens Anchorage International,AK,Alaska
2,ATL,William B Hartsfield-Atlanta Intl,GA,Georgia
3,AUS,Austin-Bergstrom International,TX,Texas
4,BDL,Bradley International,CT,Connecticut
5,BHM,Birmingham International,AL,Alabama
6,BNA,Nashville International,TN,Tennessee
7,BOS,Gen Edw L Logan Intl,MA,Massachusetts
8,BUF,Buffalo Niagara Intl,NY,New York
9,BUR,Burbank-Glendale-Pasadena,CA,California
10,BWI,Baltimore-Washington International,MD,Maryland
11,CHS,Charleston AFB International,SC,South Carolina
12,CLE,Cleveland-Hopkins Intl,OH,Ohio
13,CLT,Charlotte Douglas International,NC,North Carolina
14,CMH,Port Columbus Intl,OH,Ohio
15,CVG,Cincinnati Northern Kentucky Intl,KY,Kentucky
16,DAL,Dallas Love ,TX,Texas
17,DCA,Ronald Reagan Washington National,VA,Virginia
18,DEN,Denver Intl,CO,Colorado
19,DFW,Dallas-Fort Worth International,TX,Texas
20,DTW,Detroit Metropolitan-Wayne County,MI,Michigan
21,ELP,El Paso International,TX,Texas
22,EWR,Newark Intl,NJ,New Jersey
23,FLL,Fort Lauderdale-Hollywood Int'l,FL,Florida
24,HNL,Honolulu International,HI,Hawaii
25,HOU,William P X,TX,Texas
26,IAD,Washington Dulles International,VA,Virginia
27,IAH,George Bush Intercontinental,TX,Texas
28,IND,Indianapolis International,IN,Indiana
29,JAX,Jacksonville International,FL,Florida
30,JFK,John F Kennedy Intl,NY,New York
31,LAS,McCarran International,NV,Nevada
32,LAX,Los Angeles International,CA,California
33,LGA,LaGuardia,NY,New York
34,LIT,Adams ,AR,Arkansas
35,MCI,Kansas City International,MO,Missouri
36,MCO,Orlando International,FL,Florida
37,MDW,Chicago Midway,IL,Illinois
38,MEM,Memphis International,TN,Tennessee
39,MIA,Miami International,FL,Florida
40,MKE,General Mitchell International,WI,Wisconsin
41,MSP,Minneapolis-St Paul Intl,MN,Minnesota
42,MSY,New Orleans International ,LA,Louisiana
43,OAK,Metropolitan Oakland International,CA,California
44,OGG,Kahului,HI,Hawaii
45,OKC,Will Rogers World,OK,Oklahoma
46,OMA,Eppley Airfield,NE,Nebraska
47,ONT,Ontario International,CA,California
48,ORD,Chicago O'Hare International,IL,Illinois
49,ORF,Norfolk International,VA,Virginia
50,PBI,Palm Beach International,FL,Florida
51,PDX,Portland Intl,OR,Oregon
52,PHL,Philadelphia Intl,PA,Pennsylvania
53,PHX,Phoenix Sky Harbor International,AZ,Arizona
54,PIT,Pittsburgh International,PA,Pennsylvania
55,PVD,Theodore F Green State,RI,Rhode Island
56,RDU,Raleigh-Durham International,NC,North Carolina
57,RIC,Richmond International,VA,Virginia
58,RNO,Reno Tahoe International,NV,Nevada
59,RSW,Southwest Florida International,FL,Florida
60,SAN,San Diego International-Lindbergh ,CA,California
61,SAT,San Antonio International,TX,Texas
62,SDF,Louisville International-Standiford ,KY,Kentucky
63,SEA,Seattle-Tacoma Intl,WA,Washington
64,SFO,San Francisco International,CA,California
65,SJC,San Jose International,CA,California
66,SJU,Luis Munoz Marin International,PR,Puerto Rico
67,SLC,Salt Lake City Intl,UT,Utah
68,SMF,Sacramento International,CA,California
69,SNA,John Wayne  Orange Co,CA,California
70,STL,Lambert-St Louis International,MO,Missouri
71,TPA,Tampa International ,FL,Florida
72,TUL,Tulsa International,OK,Oklahoma
73,TUS,Tucson International,AZ,Arizona
74,ABE,Lehigh Valley International,PA,Pennsylvania
75,ABI,Abilene Regional,TX,Texas
76,ABR,Aberdeen Regional,SD,South Dakota
77,ABY,Southwest Georgia Regional,GA,Georgia
78,ACK,Nantucket Memorial,MA,Massachusetts
79,ACT,Waco Regional,TX,Texas
80,ACV,Arcata,CA,California
81,ACY,Atlantic City International,NJ,New Jersey
82,ADK,Adak,AK,Alaska
83,ADQ,Kodiak ,AK,Alaska
84,AEX,Alexandria International,LA,Louisiana
85,AGS,Bush ,GA,Georgia
86,AKN,King Salmon,AK,Alaska
87,ALB,Albany Cty,NY,New York
88,ALO,Waterloo Municipal,IA,Iowa
